Created,Opponent,Date,Time,Wind speed (km/h),Our score,Opponent's score,Result,Won points started on offense (holds),Won points started on defense (breaks),Possessions total,Offense possessions,Defense possessions,Passes,Turnovers,Thrower errors,Receiver errors,Defensive blocks,Opposition errors,Stall outs for,Stall outs against
2026-08-30 13:32:11,Tiefseetaucher,2026-08-30,13:31,0,6,15,Loss,6,0,35,35,0,148,29,24,6,6,15,0,0
2026-08-23 07:48:08,Hammers Bs As,2026-08-16,10:00,13,14,11,Win,8,6,26,13,13,212,12,10,7,5,10,0,0
2026-08-25 10:58:46,Shame,2026-08-25,10:58,0,6,15,Loss,4,2,22,17,5,126,16,16,1,2,6,0,0
2026-08-14 15:52:28,BFD Redshot,2026-08-15,18:00,0,15,11,Win,9,6,34,20,14,274,19,17,5,10,12,0,0
2026-08-30 14:30:23,Union,2026-08-20,14:30,0,15,14,Win,10,5,36,22,14,161,21,20,6,7,14,0,0
2026-08-23 09:17:14,Avalon,2026-08-17,14:00,0,14,12,Win,7,7,36,21,15,380,22,21,5,11,12,0,0
2026-08-22 22:53:12,Rebel,2026-08-16,16:00,14,15,4,Win,5,10,32,9,23,177,17,14,5,14,13,0,0
2026-08-30 12:26:38,Meclao,2026-08-19,12:26,0,15,10,Win,9,6,37,20,17,194,22,18,6,11,15,0,0
2026-08-30 17:07:35,Monkey Grenoble,2026-08-21,17:07,0,15,13,Win,11,4,36,25,11,294,21,18,7,11,11,0,0
2026-08-30 15:34:57,Tartu Turbulence,2026-08-20,15:34,0,13,15,Loss,8,5,26,17,9,222,13,11,4,5,6,0,0
