Player,Points played total,Offense points played,Defense points played,Offense points won,Defense points won,Touches,Points played with touches,Throws,Catches,Possessions initiated,Assists,Secondary assists,Goals,Turnovers,Thrower errors,Receiver errors,Defensive blocks,Stall outs for,Stall outs against,Total completed throw distance (m),Total completed throw gain (m),Average completed throw distance (m),Average completed throw gain (m),Total caught pass distance (m),Total caught pass gain (m),Average caught pass distance (m),Average caught pass gain (m)
95 Benjamin Willi,51,1,50,0,19,43,19,41,38,5,3,4,2,3,2,1,0,0,0,450.80,225.26,12.18,6.09,440.74,157.17,11.60,4.14
59 Yael Grob,82,82,0,49,0,97,47,91,97,0,7,4,6,7,3,4,0,0,0,923.34,77.19,10.49,0.88,1'271.85,514.35,13.11,5.30
12 Anika Gnaedinger,76,74,2,49,2,73,41,65,72,1,0,1,8,7,7,0,2,0,0,545.42,42.27,9.40,0.73,1'025.57,639.11,14.24,8.88
54 Thanh Elsener,38,0,38,0,17,13,10,12,13,0,1,1,1,3,0,3,1,0,0,116.18,31.60,9.68,2.63,183.88,118.35,14.14,9.10
09 Jan Ghadamian,88,5,83,3,35,82,41,71,74,8,4,2,11,10,9,1,5,0,0,791.52,325.31,12.98,5.33,1'029.93,518.42,13.92,7.01
99 Luca Godenzini,63,62,1,32,1,160,55,157,122,38,0,7,3,16,15,1,0,0,0,1'438.88,340.43,10.13,2.40,1'172.50,68.80,9.61,0.56
28 Anika,81,79,2,48,1,239,70,236,204,35,9,10,3,24,21,3,2,0,0,2'531.05,1'192.23,12.05,5.68,2'092.70,147.32,10.26,0.72
42 Tim Mueller,40,39,1,28,1,41,25,37,41,0,2,4,4,3,2,1,1,0,0,333.03,-20.39,9.52,-0.58,557.93,353.43,13.61,8.62
19 Moritz Roevekamp,49,49,0,26,0,61,30,56,60,1,3,5,5,3,1,2,3,0,0,582.18,107.82,10.59,1.96,677.14,372.41,11.29,6.21
18 Martin Fahndrich,75,2,73,2,31,51,27,40,50,1,6,3,11,8,6,2,5,0,0,385.23,96.02,11.33,2.82,922.80,753.17,18.46,15.06
32 Fiona Pacifico,52,51,1,33,1,34,22,30,34,0,0,3,4,3,3,0,0,0,0,231.90,72.52,8.59,2.69,534.14,326.66,15.71,9.61
30 Quinn Bergeron,97,92,5,61,3,280,85,265,226,54,15,12,15,23,18,5,9,0,0,3'175.55,1'347.56,12.96,5.50,2'600.98,826.50,11.51,3.66
29 Malvina Voclova,37,0,37,0,17,12,9,12,11,1,1,0,0,3,3,0,1,0,0,104.63,61.40,11.63,6.82,122.24,57.12,11.11,5.19
03 Jason Christian,57,4,53,3,21,96,34,92,59,37,5,6,4,4,3,1,4,0,0,1'181.35,550.18,13.74,6.40,577.18,42.05,9.78,0.71
17 Alexandra Tutuian,87,5,82,2,33,53,35,45,53,0,4,8,8,11,7,4,4,0,0,444.32,155.59,11.69,4.09,887.21,794.01,16.74,14.98
01 Oscar Weber,52,1,51,0,18,33,17,33,31,2,2,2,0,5,3,2,3,0,0,432.09,220.78,14.40,7.36,345.97,84.12,11.16,2.71
81 Emily Cai,102,10,92,8,34,121,58,119,87,34,11,9,2,18,16,2,0,0,0,1'272.47,700.74,12.48,6.87,967.63,318.39,11.12,3.66
23 Lola Bardel,42,1,41,0,17,32,16,32,29,3,0,3,0,1,0,1,4,0,0,352.22,149.23,11.01,4.66,319.35,83.88,11.01,2.89
10 Cedric von,98,61,37,40,18,269,82,259,187,82,22,13,10,22,18,4,10,0,0,3'270.11,1'803.82,13.97,7.71,2'088.35,311.23,11.17,1.66
51 Lilli Gerber,61,2,59,0,26,18,16,17,16,2,2,2,1,4,3,1,4,0,0,168.78,123.07,12.98,9.47,191.80,124.59,11.99,7.79
70 Steffen Van,56,55,1,34,1,139,48,131,134,5,11,3,8,9,7,2,2,0,0,1'451.82,688.53,11.71,5.55,1'438.67,569.60,10.74,4.25
27 Erica Lastufka,80,76,4,50,3,100,57,92,99,1,9,8,8,13,7,6,3,0,0,997.98,299.35,11.74,3.52,1'338.49,876.25,13.52,8.85
11 Ronja Seibert,52,51,1,32,1,107,35,107,98,9,1,3,0,9,6,3,2,0,0,1'043.59,207.85,10.33,2.06,957.83,176.60,9.77,1.80
50 Philip Arm,56,56,0,33,0,83,29,78,82,1,7,2,5,2,1,1,2,0,0,839.99,219.63,11.05,2.89,957.63,361.93,11.68,4.41
08 Francesca Pietrafesa,79,4,75,2,26,19,15,18,19,0,0,6,1,3,2,1,1,0,0,164.30,47.06,10.27,2.94,267.00,191.04,14.05,10.05
34 Noah Kesseli,84,6,78,4,31,59,35,52,59,0,3,2,7,7,6,1,13,0,0,599.59,239.42,13.03,5.20,836.06,495.92,14.17,8.41
